,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss
0,0.7085987329483032,1.0,0.9006996750831604,0.6175481081008911
1,1.0,1.0,0.4435743987560272,0.2698343098163605
2,1.0,1.0,0.18283070623874664,0.10894450545310974
3,1.0,1.0,0.07726536691188812,0.05042720586061478
4,1.0,1.0,0.039318881928920746,0.028230901807546616
5,1.0,1.0,0.02340300939977169,0.01834121160209179
6,1.0,1.0,0.01583118364214897,0.012783030979335308
7,1.0,1.0,0.011387526988983154,0.009438041597604752
8,1.0,1.0,0.008570371195673943,0.0072977240197360516
9,1.0,1.0,0.006700132507830858,0.005840768106281757
10,1.0,1.0,0.005425001960247755,0.004717106930911541
11,1.0,1.0,0.004436376038938761,0.003908203449100256
12,1.0,1.0,0.0036916250828653574,0.0033118468709290028
13,1.0,1.0,0.0031379726715385914,0.0028357647825032473
14,1.0,1.0,0.0026901583187282085,0.0024590312968939543
15,1.0,1.0,0.0023424688261002302,0.0021314979530870914
16,1.0,1.0,0.0020394441671669483,0.0018824804574251175
17,1.0,1.0,0.0018034137319773436,0.0016720604617148638
18,1.0,1.0,0.00160586042329669,0.001493987743742764
19,1.0,1.0,0.0014396599726751447,0.0013416194124147296
20,1.0,1.0,0.0012943322071805596,0.0012143903877586126
21,1.0,1.0,0.0011701587354764342,0.0011046143481507897
22,1.0,1.0,0.0010637221857905388,0.0010055754100903869
23,1.0,1.0,0.0009716926724649966,0.0009202549699693918
24,1.0,1.0,0.0008896954823285341,0.0008481438271701336
25,1.0,1.0,0.0008188466890715063,0.0007823617779649794
26,1.0,1.0,0.0007567669963464141,0.0007231197087094188
27,1.0,1.0,0.0006996304728090763,0.0006718123913742602
28,1.0,1.0,0.0006497305585071445,0.0006258113426156342
29,1.0,1.0,0.0006051984382793307,0.0005830025183968246
30,1.0,1.0,0.0005642174510285258,0.000546079536434263
31,1.0,1.0,0.0005272738635540009,0.0005122152506373823
32,1.0,1.0,0.0004950430593453348,0.0004795981221832335
33,1.0,1.0,0.00046396697871387005,0.0004515140608418733
34,1.0,1.0,0.0004365559434518218,0.00042542192386463284
35,1.0,1.0,0.0004110483278054744,0.0004018965701106936
36,1.0,1.0,0.00038814626168459654,0.0003793060895986855
37,1.0,1.0,0.00036639944300986826,0.0003594160662032664
38,1.0,1.0,0.0003472479875199497,0.0003398197586648166
39,1.0,1.0,0.00032842170912772417,0.0003229845315217972
40,1.0,1.0,0.00031188438879325986,0.0003072200051974505
41,1.0,1.0,0.0002965823805425316,0.0002921821433119476
42,1.0,1.0,0.00028196690254844725,0.00027840526308864355
43,1.0,1.0,0.00026842817896977067,0.0002655241114553064
44,1.0,1.0,0.0002559519780334085,0.00025351226213388145
45,1.0,1.0,0.0002442935947328806,0.00024199880135711282
46,1.0,1.0,0.00023327881353907287,0.00023133918875828385
47,1.0,1.0,0.00022281138808466494,0.0002212850231444463
48,1.0,1.0,0.00021304081019479781,0.00021219946211203933
49,1.0,1.0,0.00020416881307028234,0.00020327407401055098
