,1y,6m,3m,1m,1w
BTC-USD,56.578336646151996,-4.385751174815191,12.563758409154,14.98078521658521,0.23614707217550582
ETH-USD,-39.873051670619525,-48.15132721641409,-22.31469177339855,8.582295663007377,1.374743698974659
USDT-USD,0.11546154462432107,0.11486431306278964,0.011858987461772642,0.06298612421168967,-0.028616843812316394
XRP-USD,349.85952416171307,-2.0200527601465255,2.6069247941900047,9.64314802443475,3.0478489780690907
BNB-USD,4.367211130510528,-14.035504706948206,-1.1366140644309508,3.671640392603331,0.5949539557461808
SOL-USD,16.157374178968222,-25.320420222888462,9.378545740720162,23.869975924552918,-2.2784091104414133
USDC-USD,0.005782020681513068,-0.0013232138073903756,0.007880403843872627,0.006479484860090517,0.005281283168216737
DOGE-USD,32.001177098570494,-47.35769687046149,-14.37561400655941,9.741295460939819,-3.2100229421986897
ADA-USD,59.25715540514776,-23.43155700422972,8.834615820339826,11.136652097264513,-1.6966358736757905
TRX-USD,104.32693348111385,-5.292729236917394,7.632145519073465,2.4056189683942404,0.8770329828001234
STETH-USD,-40.05324984962553,-48.250251080454994,-22.331132972287534,8.733047825342128,1.225754921750201
WBTC-USD,56.442071469271305,-3.989937565421316,13.117066618891164,14.973887151607848,0.26420127234248475
SUI-USD,,,,,
LINK-USD,11.856512310391864,-39.86903239441051,-3.3985835300199843,16.066084891372977,-1.5967775709617524
AVAX-USD,-33.243198197110665,-45.752594967955815,0.16859596323493187,18.37159970078215,-1.5969463297020394
XLM-USD,160.27454850893977,-26.766677238509974,-1.7980689371805378,15.767738054612442,-1.1889081179101737
LEO-USD,54.954401283590315,-5.257040496167821,-0.37558641995109343,-3.790998383485634,1.1041426294965295
TON-USD,-96.9900182474665,-96.20562077641755,23.42421977640709,13.395055695379607,93.32276659395191
HBAR-USD,100.90777702889797,-39.97427080818087,-4.843696689263888,11.622841811463687,-2.1891672218748033
SHIB-USD,-38.83119017798646,-41.490704489835174,-3.877585133087982,12.142814916318912,-3.877585133087982
USDS-USD,,,,,
WSTETH-USD,-37.93352524375177,-47.57788629960717,-22.305116144256427,8.62747254878413,0.7435203251054593
BCH-USD,-15.355785577608824,-21.02648905643004,25.261465956920727,22.01226234748438,-1.5644239306016379
LTC-USD,8.357452918103462,-21.390121372158053,-30.879557959232223,13.323298224504395,-0.21886510247420524
DOT-USD,-35.16190368142221,-44.42618710998813,-12.156467162310046,14.417373040970038,-2.1498184608451254
HYPE-USD,,,,,
BSC-USD-USD,,,,,
XMR-USD,135.86268781488891,47.58633685665223,31.72113179959911,38.699545047102,23.707268292211992
WETH-USD,-39.95026924482744,-48.10012016646111,-22.502258369153424,8.607775648009781,0.85084871715176
BGB-USD,286.81252472187464,-24.31821142692351,10.121191514796287,2.5937058662432313,-1.1773709975999802
